GENESIS-Tabelle: 46241-007Z
Straßenverkehrsunfälle: Unfälle mit Personenschaden oder;;;;;;;;
Sachschaden, Verunglückte - Gemeinden;;;;;;;;
(Gebietsstand ab 01.01.23) - Jahre;;;;;;;;
Statistik der Straßenverkehrsunfälle;;;;;;;;
;;;Unfälle insgesamt (o.so.Sachsch.unf.);Unfälle mit Personenschaden;Schwerwiegende Unfälle mit Sachschaden i.e.S.;Sonst. Sachsch.unfall unt.Einwirk.berausch.Mittel;Getötete;Verletzte
;;;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl
14521290;      Hohndorf;2024;7;5;2;-;-;5
14521310;      Jahnsdorf/Erzgeb.;2024;38;29;9;-;-;46
14521320;      Johanngeorgenstadt, Stadt;2024;9;7;2;-;-;10
14521330;      Jöhstadt, Stadt;2024;7;6;1;-;-;7
14521340;      Königswalde;2024;4;2;2;-;-;2
14521355;      Lauter-Bernsbach, Stadt;2024;20;14;5;1;-;19
14521370;      Lößnitz, Stadt;2024;16;10;5;1;1;13
14521380;      Lugau/Erzgeb., Stadt;2024;21;18;2;1;-;19
14521390;      Marienberg, Stadt;2024;56;38;14;4;2;53
14521400;      Mildenau;2024;9;2;6;1;-;3
14521410;      Neukirchen/Erzgeb.;2024;22;15;6;1;-;19
14521420;      Niederdorf;2024;19;14;5;-;-;18
14521430;      Niederwürschnitz;2024;9;9;-;-;-;10
14521440;      Oberwiesenthal, Kurort, Stadt;2024;12;6;5;1;-;7
14521450;      Oelsnitz/Erzgeb., Stadt;2024;52;38;14;-;2;45
14521460;      Olbernhau, Stadt;2024;35;21;14;-;-;30
14521495;      Pockau-Lengefeld, Stadt;2024;32;21;9;2;-;30
14521500;      Raschau-Markersbach;2024;21;13;8;-;-;20
14521510;      Scheibenberg, Stadt;2024;8;6;1;1;-;8
14521520;      Schlettau, Stadt;2024;22;17;4;1;-;25
14521530;      Schneeberg, Stadt;2024;49;27;20;2;-;37
14521540;      Schönheide;2024;13;9;3;1;-;11
14521550;      Schwarzenberg/Erzgeb., Stadt;2024;56;29;22;5;-;40
14521560;      Sehmatal;2024;17;13;4;-;-;39
14521570;      Seiffen/Erzgeb., Kurort;2024;7;4;2;1;-;5
14521590;      Stollberg/Erzgeb., Stadt;2024;44;31;13;-;-;43
14521600;      Stützengrün;2024;9;3;6;-;-;4
14521610;      Tannenberg;2024;4;2;2;-;-;2
14521620;      Thalheim/Erzgeb., Stadt;2024;12;10;2;-;-;11
14521630;      Thermalbad Wiesenbad;2024;23;17;6;-;-;27
14521640;      Thum, Stadt;2024;22;8;14;-;-;10
14521670;      Wolkenstein, Stadt;2024;25;18;6;1;-;29
14521690;      Zschopau, Stadt, Motorradstadt;2024;38;27;11;-;-;36
14521700;      Zschorlau;2024;22;11;11;-;1;15
14521710;      Zwönitz, Stadt;2024;49;32;16;1;-;46
14522;    Mittelsachsen, Landkreis;2024;1316;881;377;58;6;1174
14522010;      Altmittweida;2024;16;12;3;1;-;12
14522020;      Augustusburg, Stadt;2024;18;17;-;1;-;25
14522035;      Bobritzsch-Hilbersdorf;2024;14;11;3;-;-;14
14522050;      Brand-Erbisdorf, Stadt;2024;31;25;5;1;-;32
14522060;      Burgstädt, Stadt;2024;26;18;8;-;-;24
14522070;      Claußnitz;2024;9;9;-;-;-;13
14522080;      Döbeln, Stadt;2024;92;70;19;3;1;83
14522090;      Dorfchemnitz;2024;1;1;-;-;-;2
14522110;      Eppendorf;2024;10;9;1;-;-;13
14522120;      Erlau;2024;10;6;3;1;-;9
14522140;      Flöha, Stadt;2024;42;27;12;3;1;42
14522150;      Frankenberg/Sa., Stadt, Garnisonsstadt;2024;67;40;24;3;-;55
14522170;      Frauenstein, Stadt;2024;11;8;3;-;-;13
14522180;      Freiberg, Stadt, Universitätsstadt;2024;157;118;34;5;-;147
14522190;      Geringswalde, Stadt;2024;11;7;3;1;-;7
14522200;      Großhartmannsdorf;2024;15;11;4;-;-;13
14522210;      Großschirma, Stadt;2024;40;28;10;2;-;41
14522220;      Großweitzschen;2024;20;14;5;1;-;23
14522230;      Hainichen, Stadt;2024;57;31;21;5;-;45
14522240;      Halsbrücke;2024;18;10;6;2;-;14
14522250;      Hartha, Stadt;2024;30;20;7;3;-;31
14522260;      Hartmannsdorf;2024;22;13;8;1;-;13
14522275;      Jahnatal;2024;18;11;6;1;-;17
14522280;      Königsfeld;2024;11;7;4;-;-;9
14522290;      Königshain-Wiederau;2024;8;6;2;-;-;6
14522300;      Kriebstein;2024;5;3;2;-;-;3
14522310;      Leisnig, Stadt;2024;44;27;17;-;-;35
14522320;      Leubsdorf;2024;8;7;1;-;-;9
14522330;      Lichtenau;2024;54;34;17;3;2;49
14522340;      Lichtenberg/Erzgeb.;2024;9;6;3;-;1;7
14522350;      Lunzenau, Stadt;2024;12;9;3;-;-;10
14522360;      Mittweida, Stadt, Hochschulstadt;2024;53;33;15;5;-;39
14522380;      Mühlau;2024;10;2;8;-;-;2
14522390;      Mulda/Sa.;2024;8;7;1;-;-;8
14522400;      Neuhausen/Erzgeb.;2024;14;9;4;1;-;12
14522420;      Niederwiesa;2024;24;11;11;2;-;13
14522430;      Oberschöna;2024;12;8;3;1;-;10
14522440;      Oederan, Stadt;2024;28;20;8;-;-;35
14522460;      Penig, Stadt;2024;50;36;11;3;-;49
14522470;      Rechenberg-Bienenmühle;2024;9;5;3;1;-;5
14522480;      Reinsberg;2024;18;10;7;1;-;12
14522490;      Rochlitz, Stadt, Stadt des Roten Porphyr;2024;21;16;5;-;1;20
14522500;      Rossau;2024;30;18;12;-;-;29
14522510;      Roßwein, Stadt;2024;35;21;11;3;-;29
14522520;      Sayda, Stadt;2024;4;4;-;-;-;4
14522530;      Seelitz;2024;6;5;1;-;-;7
14522540;      Striegistal;2024;48;18;30;-;-;23
14522550;      Taura;2024;15;11;3;1;-;16
14522570;      Waldheim, Stadt;2024;26;18;6;2;-;22
14522580;      Wechselburg;2024;9;7;2;-;-;8
14522590;      Weißenborn/Erzgeb.;2024;10;7;2;1;-;15
14523;    Vogtlandkreis;2024;881;605;233;43;7;779
14523010;      Adorf/Vogtl., Stadt;2024;24;19;5;-;-;27
14523020;      Auerbach/Vogtl., Stadt;2024;49;34;11;4;-;41
14523030;      Bad Brambach;2024;10;8;2;-;-;10
14523040;      Bad Elster, Stadt;2024;8;4;4;-;-;5
14523050;      Bergen;2024;1;1;-;-;-;1
14523060;      Bösenbrunn;2024;5;1;3;1;-;2
14523080;      Eichigt;2024;10;6;4;-;1;11
14523090;      Ellefeld;2024;9;9;-;-;-;18
