GENESIS-Tabelle: 46251-003Z
Kfz-Bestand: Bestand, Kfz-Arten(4);;;;;;;
- Gemeinden (GS ab 01.01.23);;;;;;;
- Stichtage: bis 2000 am 01.07., bis 2010 am 01.01.;;;;;;;
Statistik des Kfz - und Anhängerbestandes;;;;;;;
Kraftfahrzeugbestand (Anzahl);;;;;;;
;;;Kraftfahrzeugart;Kraftfahrzeugart;Kraftfahrzeugart;Kraftfahrzeugart;Kraftfahrzeugart
;;;Insgesamt;Pkw insgesamt;Lkw insgesamt;Zugmaschinen insgesamt;Krafträder, zwei-, drei- und leichte vierrädr. Kfz
14626190;      Hohendubrau;01.01.2010;1542;1264;88;89;87
14626200;      Horka;01.01.2010;1340;1102;83;62;79
14626210;      Jonsdorf, Kurort;01.01.2010;1152;1014;56;.;74
14626230;      Kodersdorf;01.01.2010;1953;1584;111;118;125
14626240;      Königshain;01.01.2010;904;742;63;.;54
14626245;      Kottmar;01.01.2010;5689;4660;425;.;352
14626250;      Krauschwitz i.d. O.L.;01.01.2010;2786;2271;224;102;171
14626260;      Kreba-Neudorf;01.01.2010;732;617;44;.;39
14626270;      Lawalde;01.01.2010;1614;1301;104;58;121
14626280;      Leutersdorf;01.01.2010;2707;2261;156;87;183
14626290;      Löbau, Stadt;01.01.2010;10318;8882;628;206;480
14626300;      Markersdorf;01.01.2010;3380;2660;266;190;234
14626310;      Mittelherwigsdorf;01.01.2010;2826;2385;161;63;205
14626320;      Mücka;01.01.2010;834;688;43;.;73
14626330;      Neißeaue;01.01.2010;1367;1094;80;92;90
14626350;      Neusalza-Spremberg, Stadt;01.01.2010;2399;2023;140;.;147
14626370;      Niesky, Stadt;01.01.2010;6517;5576;441;92;366
14626390;      Oderwitz;01.01.2010;3533;3010;204;79;225
14626400;      Olbersdorf;01.01.2010;3213;2842;136;.;181
14626410;      Oppach;01.01.2010;1744;1496;109;.;110
14626420;      Ostritz, Stadt;01.01.2010;1541;1363;68;34;65
14626430;      Oybin;01.01.2010;1043;905;48;.;70
14626440;      Quitzdorf am See;01.01.2010;996;806;86;32;52
14626450;      Reichenbach/O.L., Stadt;01.01.2010;3545;2942;203;.;227
14626460;      Rietschen;01.01.2010;1868;1523;112;69;152
14626470;      Rosenbach;01.01.2010;1234;999;68;71;83
14626480;      Rothenburg/O.L., Stadt, Hochschulstadt;01.01.2010;3303;2793;209;101;172
14626490;      Schleife;01.01.2010;2380;1672;243;302;136
14626500;      Schönau-Berzdorf a. d. Eigen;01.01.2010;1190;983;58;79;59
14626510;      Schönbach;01.01.2010;898;746;66;37;37
14626520;      Schöpstal;01.01.2010;2022;1582;148;118;162
14626530;      Seifhennersdorf, Stadt;01.01.2010;2595;2232;115;78;159
14626560;      Trebendorf;01.01.2010;910;703;62;54;65
14626570;      Vierkirchen;01.01.2010;1382;1117;86;.;110
14626580;      Waldhufen;01.01.2010;1998;1616;146;97;121
14626590;      Weißkeißel;01.01.2010;1040;879;48;.;70
14626600;      Weißwasser/O.L., Stadt;01.01.2010;9936;8956;412;29;421
14626610;      Zittau, Stadt, Hochschulstadt;01.01.2010;15151;13148;885;163;769
14627;    Meißen, Landkreis;01.01.2010;155783;131172;11008;3772;8539
14627010;      Coswig, Stadt;01.01.2010;11587;10257;715;.;550
14627020;      Diera-Zehren;01.01.2010;2635;2172;198;86;162
14627030;      Ebersbach;01.01.2010;3672;2825;306;243;232
14627040;      Glaubitz;01.01.2010;1458;1187;116;46;93
14627050;      Gröditz, Stadt;01.01.2010;4690;4024;306;.;232
14627060;      Großenhain, Stadt;01.01.2010;12152;10216;903;319;593
14627070;      Hirschstein;01.01.2010;1661;1340;133;66;106
14627080;      Käbschütztal;01.01.2010;1991;1596;160;65;154
14627100;      Klipphausen;01.01.2010;7861;6260;716;282;562
14627110;      Lampertswalde;01.01.2010;2406;1797;244;196;122
14627130;      Lommatzsch, Stadt;01.01.2010;3490;2830;298;153;184
14627140;      Meißen, Stadt;01.01.2010;14126;12256;915;115;659
14627150;      Moritzburg;01.01.2010;5568;4681;414;128;312
14627170;      Niederau;01.01.2010;3030;2452;284;84;166
14627180;      Nossen, Stadt;01.01.2010;7803;6243;582;420;493
14627190;      Nünchritz;01.01.2010;3955;3374;179;84;268
14627200;      Priestewitz;01.01.2010;2477;1978;192;137;149
14627210;      Radebeul, Stadt;01.01.2010;19186;16602;1279;131;1093
14627220;      Radeburg, Stadt;01.01.2010;5192;4246;443;175;292
14627230;      Riesa, Stadt;01.01.2010;17805;15847;965;128;739
14627240;      Röderaue;01.01.2010;2042;1725;121;37;141
14627250;      Schönfeld;01.01.2010;1536;1158;150;117;93
14627260;      Stauchitz;01.01.2010;2299;1887;136;84;166
14627270;      Strehla, Stadt;01.01.2010;2572;2096;236;91;131
14627290;      Thiendorf;01.01.2010;3065;2356;265;244;162
14627310;      Weinböhla;01.01.2010;6174;5372;363;36;377
14627340;      Wülknitz;01.01.2010;1240;944;125;63;77
14627360;      Zeithain;01.01.2010;4110;3451;264;118;231
14628;    Sächsische Schweiz-Osterzgebirge, Landkreis;01.01.2010;161590;135282;11089;3788;10173
14628010;      Altenberg, Stadt;01.01.2010;5892;4840;366;235;396
14628020;      Bad Gottleuba-Berggießhübel, Stadt;01.01.2010;4215;3372;295;170;345
14628030;      Bad Schandau, Stadt;01.01.2010;2519;2134;185;.;157
14628040;      Bahretal;01.01.2010;1817;1423;142;99;139
14628050;      Bannewitz;01.01.2010;6862;5841;473;66;458
14628060;      Dippoldiswalde, Stadt;01.01.2010;10387;8667;730;235;669
14628070;      Dohma;01.01.2010;1448;1211;101;.;111
14628080;      Dohna, Stadt;01.01.2010;4248;3458;297;129;321
14628090;      Dorfhain;01.01.2010;842;706;.;.;72
14628100;      Dürrröhrsdorf-Dittersbach;01.01.2010;3385;2656;327;117;257
14628110;      Freital, Stadt;01.01.2010;22183;19333;1310;147;1297
14628130;      Glashütte, Stadt;01.01.2010;5263;4248;399;218;371
14628140;      Gohrisch;01.01.2010;1424;1182;99;.;113
14628150;      Hartmannsdorf-Reichenau;01.01.2010;995;773;83;.;49
14628160;      Heidenau, Stadt;01.01.2010;8217;7205;471;48;424
14628170;      Hermsdorf/Erzgeb.;01.01.2010;658;538;31;38;39
14628190;      Hohnstein, Stadt;01.01.2010;2533;2010;165;113;204
14628205;      Klingenberg;01.01.2010;5374;4346;348;305;347
14628210;      Königstein/Sächs. Schw., Stadt;01.01.2010;1526;1233;145;34;95
14628220;      Kreischa;01.01.2010;3084;2536;223;86;218
14628230;      Liebstadt, Stadt;01.01.2010;1011;832;59;.;61
14628240;      Lohmen;01.01.2010;2170;1832;122;45;159
14628250;      Müglitztal;01.01.2010;1559;1259;120;.;140
14628260;      Neustadt in Sachsen, Stadt;01.01.2010;8434;7230;463;253;444
14628270;      Pirna, Stadt;01.01.2010;21554;18723;1337;183;1075
14628300;      Rabenau, Stadt;01.01.2010;3262;2655;238;77;275
14628310;      Rathen, Kurort;01.01.2010;231;204;.;.;11
14628320;      Rathmannsdorf;01.01.2010;656;530;44;.;67
14628330;      Reinhardtsdorf-Schöna;01.01.2010;1103;897;70;.;80
14628340;      Rosenthal-Bielatal;01.01.2010;1278;1052;84;.;106
14628360;      Sebnitz, Stadt;01.01.2010;6222;5288;378;147;370
14628370;      Stadt Wehlen, Stadt;01.01.2010;1074;892;75;.;85
14628380;      Stolpen, Stadt;01.01.2010;4192;3365;313;206;257
14628390;      Struppen;01.01.2010;1763;1517;94;39;97
14628400;      Tharandt, Stadt;01.01.2010;3573;2961;279;69;242
14628410;      Wilsdruff, Stadt;01.01.2010;10636;8333;1181;364;622
147;  Leipzig, NUTS 2-Region;01.01.2010;525159;447833;36446;9574;27341
14713;    Leipzig, Stadt;01.01.2010;217747;191975;13830;749;9803
14713000;      Leipzig, Stadt;01.01.2010;217747;191975;13830;749;9803
14729;    Leipzig, Landkreis;01.01.2010;172749;144882;12355;4407;9790
14729010;      Bad Lausick, Stadt;01.01.2010;5834;4730;497;202;353
